,Hidden Feature-1,Hidden Feature-2,Type
456,-53.447243,1.6097605,Normal
457,-24.148544,-39.403835,Normal
458,-28.119257,-41.528065,Normal
459,-49.546055,16.643026,Normal
460,-49.547825,-35.50016,Normal
461,-48.631172,5.069697,Normal
462,-53.319817,-24.370586,Normal
463,-39.18792,-3.3335853,Normal
464,-40.60939,18.55255,Normal
465,-5.6328053,17.601414,Normal
466,-25.359327,-11.197657,Normal
467,-33.543163,-6.0519724,Normal
468,-17.10065,-17.803516,Normal
469,-54.283062,0.49457923,Normal
470,-19.250448,-35.717525,Normal
471,-25.683826,-38.448914,Normal
472,-47.92398,14.169002,Normal
473,-37.6926,-42.865795,Normal
474,-49.24402,5.232472,Normal
475,-50.223217,-27.16669,Normal
476,-46.1517,-26.335318,Normal
477,-38.839363,6.7553606,Normal
478,-34.684467,-16.633347,Normal
479,-25.685463,-14.161042,Normal
480,-34.697857,-6.7778354,Normal
481,-18.969471,-17.355604,Normal
482,-44.289043,8.757728,Normal
483,-13.720685,-20.029423,Normal
484,-17.462526,-35.83035,Normal
485,-42.93288,10.010729,Normal
486,-25.675247,-43.416523,Normal
487,-48.102848,-5.9998655,Normal
488,-42.563805,17.59198,Normal
489,-47.998024,-29.619759,Normal
490,-48.1969,7.901189,Normal
491,-45.059246,17.82285,Normal
492,-33.167686,-14.420922,Normal
493,-27.002737,-11.012456,Normal
494,-21.8216,-17.429497,Normal
495,-18.932526,-17.272871,Normal
496,-13.523344,-24.28028,Normal
497,-20.059158,-37.436,Normal
498,-21.068771,-38.77605,Normal
499,-21.624046,-43.300037,Normal
500,-51.168804,26.52136,Normal
501,-51.754955,26.708614,Normal
502,-51.134415,27.405228,Normal
503,-51.04358,27.228569,Normal
504,-52.653362,25.485697,Normal
505,-49.015316,26.960785,Normal
506,-50.482983,25.573742,Normal
507,-50.24178,24.82302,Normal
508,-59.53252,0.8357374,Normal
509,-50.01357,25.713947,Normal
510,-51.228188,25.098982,Normal
511,-49.852486,26.158405,Normal
512,-51.487587,27.460352,Normal
513,-50.304295,26.748217,Normal
514,-50.64091,25.939358,Normal
515,-51.921566,25.2168,Normal
516,-51.503147,25.962097,Normal
517,-51.871834,26.149124,Normal
518,-51.271755,26.15953,Normal
519,-50.555035,27.032894,Normal
520,-51.47092,26.013275,Normal
521,-49.664654,26.144102,Normal
522,-49.593372,23.649385,Normal
523,-50.29441,25.07747,Normal
524,-49.262463,24.332062,Normal
525,-49.548187,25.762333,Normal
526,-49.85304,26.834002,Normal
527,-50.568443,26.818184,Normal
528,-35.652157,-6.4209185,Normal
529,-52.82842,1.3268687,Normal
530,-49.592697,26.218483,Normal
531,-52.362804,27.329878,Normal
532,-49.517014,26.413956,Normal
533,-49.596558,27.49917,Normal
534,-50.837044,24.07807,Normal
535,-48.889503,24.448162,Normal
536,-49.838943,25.160961,Normal
537,-49.961624,27.310673,Normal
538,-51.753788,27.96634,Normal
539,-52.39751,26.15987,Normal
540,-52.315926,24.670267,Normal
541,-50.6455,26.049461,Normal
542,-52.75878,27.170248,Normal
543,-51.97047,26.623632,Normal
544,-52.051205,27.553753,Normal
545,-51.941216,25.570164,Normal
546,-51.05536,24.812733,Normal
547,-48.58748,22.131897,Normal
548,-50.7918,26.859362,Normal
549,-52.58597,26.060303,Normal
